#{"t_start": 1786422801.8976715, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-8.57892,1337,6430.456196,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-8.888475,2000,6474.931342,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-8.579634,1249,6504.033195,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.442986,2000,6550.274943,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.897605,476,6561.508447,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.413421,2000,6611.188707,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
0.084768,782,6629.704034,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.434281,622,6645.505026,True,False,False,True,True,True,0.0004099222174055432,0.00059,True,0.000910938260901207,0.0,3.0,0.25
-2.984417,2000,6694.316078,False,False,True,False,True,False,0.00038938791366382753,0.001212,False,0.0008653064748085056,0.0,3.0,0.25
0.724444,370,6702.655284,True,False,False,True,True,True,0.0018958279721010367,0.003212,True,0.004212951049113415,0.0,3.0,0.25
-1.623918,998,6726.340396,True,False,False,True,True,True,0.002991233513752102,0.003582,False,0.006647185586115782,0.0,3.0,0.25
-2.912583,1241,6757.075878,True,False,False,True,True,True,0.004087453706184496,0.00458,False,0.009083230458187768,0.0,3.0,0.25
0.353701,509,6768.508134,True,False,False,True,True,True,0.002786232092728507,0.005821,False,0.006191626872730015,0.0,3.0,0.25
-0.943542,509,6780.293646,True,False,False,True,True,True,0.0003197744583411748,0.00633,True,0.0007106099074248328,0.0,3.0,0.25
-0.172687,498,6791.61411,True,False,False,True,True,True,0.003391584333202227,0.006839,False,0.007536854073782726,0.0,3.0,0.25
0.237225,377,6799.993492,True,False,False,True,True,True,0.002573242571785635,0.007337,False,0.0057183168261902995,0.0,3.0,0.25
-3.16293,2000,6845.095771,False,False,True,False,True,False,0.0018438688100884512,0.007714,True,0.004097486244641003,0.0,3.0,0.25
-3.008187,813,6864.235649,True,False,False,True,True,True,0.004036009469449402,0.009714,False,0.008968909932109782,0.0,3.0,0.25
-5.665263,1549,6900.416496,True,False,False,True,True,True,0.010508147097507517,0.010527,False,0.023351437994461148,0.0,3.0,0.25
-6.172674,2000,6947.908885,False,False,True,False,True,False,0.011405137225073822,0.012076,False,0.025344749389052935,0.0,3.0,0.25
-2.369336,746,6964.825439,True,False,False,True,True,True,0.0064499549354416,0.014076,True,0.014333233189870221,0.0,3.0,0.25
-2.665728,1029,6988.789232,True,False,False,True,True,True,0.0070586073521290175,0.014822,True,0.015685794115842262,0.0,3.0,0.25
-1.714823,504,7000.606448,True,False,False,True,True,True,0.010476896497605635,0.015851,False,0.02328199221690141,0.0,3.0,0.25
-0.946648,464,7010.89606,True,False,False,True,True,True,0.004255240391641653,0.016355,True,0.009456089759203673,0.0,3.0,0.25
-3.771591,1032,7035.630378,True,False,False,True,True,True,0.002124493565749577,0.016819,False,0.004721096812776837,0.0,3.0,0.25
0.434649,459,7046.188175,True,False,False,True,True,True,0.00754664419033467,0.017851,False,0.01677032042296593,0.0,3.0,0.25
-0.114947,539,7058.447575,True,False,False,True,True,True,0.01192705381199473,0.01831,False,0.026504564026654954,0.0,3.0,0.25
-7.479382,2000,7104.040941,False,False,True,False,True,False,0.001077788332459097,0.018849,False,0.0023950851832424376,0.0,3.0,0.25
-1.259018,558,7116.806197,True,False,False,True,True,True,0.01860179265483459,0.020849,True,0.04133731701074353,0.0,3.0,0.25
-54.702814,2000,7163.961644,False,False,True,False,False,False,0.0073456868935467216,0.021407,False,0.016323748652326046,0.0,3.0,0.25
-59.894156,2000,7210.872325,False,False,True,False,False,False,0.008679623228660664,0.023407,False,0.01928805161924592,0.0,3.0,0.25
-4.946149,1758,7251.15651,True,False,False,True,True,True,0.005889128904257429,0.025407,False,0.013086953120572065,0.0,3.0,0.25
-1.853917,605,7264.890508,True,False,False,True,True,True,0.01544010017713353,0.027165,False,0.0343113337269634,0.0,3.0,0.25
