#{"t_start": 1786364711.465195, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,episode_shell_outer_m,episode_target_tumble_scale
-45.626635,964,5078.653955,False,True,False,False,False,False,0.34702428571428573,5.42917,0.375
-44.244405,2000,5106.215525,False,False,True,False,False,False,0.3484014285714286,5.43881,0.375
-53.180128,1206,5122.679713,False,True,False,False,False,False,0.3512585714285714,5.45881,0.375
-46.731727,942,5135.339801,False,True,False,False,False,False,0.35298142857142856,5.47087,0.375
-56.238774,1393,5154.352188,False,True,False,False,False,False,0.35432714285714284,5.48029,0.375
-49.608927,1012,5168.204179,False,True,False,False,False,False,0.35631714285714283,5.49422,0.375
-41.024828,2000,5195.54248,False,False,True,False,False,False,0.35776285714285716,5.504340000000001,0.375
-64.135019,1739,5219.243354,False,True,False,False,False,False,0.36062,5.5243400000000005,0.375
-51.677065,1172,5236.86308,False,True,False,False,False,False,0.3631042857142857,5.54173,0.375
-48.052692,890,5249.292734,False,True,False,False,False,False,0.36477857142857145,5.55345,0.375
-56.942232,1610,5271.540326,False,True,False,False,False,False,0.36605,5.56235,0.375
-48.366907,1114,5287.004635,False,True,False,False,False,False,0.36835,5.57845,0.375
-34.327681,486,5294.116689,False,True,False,False,False,False,0.3699414285714286,5.58959,0.375
-61.043037,1598,5315.64036,False,True,False,False,False,False,0.3706357142857143,5.59445,0.375
-61.757641,1524,5337.065468,False,True,False,False,False,False,0.37291857142857143,5.61043,0.375
-43.777592,952,5350.69149,False,True,False,False,False,False,0.3750957142857143,5.62567,0.375
-52.798866,1550,5372.041051,False,True,False,False,False,False,0.3764557142857143,5.63519,0.375
-52.771015,2000,5399.79576,False,False,True,False,False,False,0.37867,5.65069,0.375
-51.554927,1324,5419.852772,False,True,False,False,False,False,0.38152714285714284,5.67069,0.375
-41.041289,784,5431.76565,False,True,False,False,False,False,0.38341857142857144,5.68393,0.375
-73.39777,1769,5456.128735,False,True,False,False,False,False,0.38453857142857145,5.69177,0.375
-60.1678,1398,5475.239964,False,True,False,False,False,False,0.3870657142857143,5.70946,0.375
-49.261989,1187,5491.388291,False,True,False,False,False,False,0.38906285714285715,5.72344,0.375
-71.814894,1989,5518.411082,False,True,False,False,False,False,0.39075857142857146,5.73531,0.375
-44.212533,892,5530.56398,False,True,False,False,False,False,0.3936,5.7552,0.375
-60.87752,1534,5551.580422,False,True,False,False,False,False,0.39487428571428573,5.76412,0.375
-60.213277,1497,5572.065788,False,True,False,False,False,False,0.3970657142857143,5.77946,0.375
-41.808204,969,5587.939133,False,True,False,False,False,False,0.39920428571428573,5.79443,0.375
-50.594687,1095,5606.725245,False,True,False,False,False,False,0.4005885714285714,5.80412,0.375
-50.491099,1120,5622.308999,False,True,False,False,False,False,0.40215285714285715,5.8150699999999995,0.375
-51.00885,1034,5636.598164,False,True,False,False,False,False,0.40375285714285714,5.826269999999999,0.375
-54.898397,1476,5657.110399,False,True,False,False,False,False,0.40523,5.83661,0.375
-48.561109,1081,5673.770424,False,True,False,False,False,False,0.40733857142857144,5.851369999999999,0.375
-59.582507,2000,5702.517618,False,False,True,False,False,False,0.40888285714285716,5.86218,0.375
-43.992331,1085,5717.967386,False,True,False,False,False,False,0.41174,5.88218,0.375
-64.481124,1484,5739.27296,False,True,False,False,False,False,0.41329,5.89303,0.375
-43.99689,958,5753.738273,False,True,False,False,False,False,0.41541,5.907869999999999,0.375
-44.158841,888,5766.717898,False,True,False,False,False,False,0.41677857142857144,5.9174500000000005,0.375
-55.971134,1298,5785.404588,False,True,False,False,False,False,0.41804714285714284,5.926329999999999,0.375
-48.828745,1218,5802.829032,False,True,False,False,False,False,0.4199014285714286,5.93931,0.375
-50.404628,1080,5817.984346,False,True,False,False,False,False,0.42164142857142856,5.95149,0.375
-50.461248,1000,5831.887559,False,True,False,False,False,False,0.42318428571428574,5.96229,0.375
-64.633564,1747,5856.069922,False,True,False,False,False,False,0.4246128571428571,5.972289999999999,0.375
-49.888038,1142,5872.09223,False,True,False,False,False,False,0.42710857142857145,5.98976,0.375
-61.711674,1432,5893.287933,False,True,False,False,False,False,0.42874,6.00118,0.375
-47.423503,2000,5921.057338,False,False,True,False,False,False,0.43078571428571427,6.015499999999999,0.375
-45.368116,1016,5935.462502,False,True,False,False,False,False,0.43364285714285716,6.0355,0.375
-53.015455,1147,5952.311076,False,True,False,False,False,False,0.4350942857142857,6.04566,0.375
-53.207627,1342,5972.47308,False,True,False,False,False,False,0.43673285714285714,6.057130000000001,0.375
-59.636795,1573,5997.035238,False,True,False,False,False,False,0.43865,6.07055,0.375
-67.912198,1691,6021.831589,False,True,False,False,False,False,0.4408971428571429,6.0862799999999995,0.375
-41.684099,896,6035.110109,False,True,False,False,False,False,0.4433128571428571,6.10319,0.375
-62.851519,1535,6057.862871,False,True,False,False,False,False,0.4445928571428571,6.11215,0.375
-57.491785,1198,6075.684207,False,True,False,False,False,False,0.4467857142857143,6.1274999999999995,0.375
-60.689001,1678,6100.270717,False,True,False,False,False,False,0.44849714285714287,6.13948,0.375
-54.751327,2000,6131.20064,False,False,True,False,False,False,0.4508942857142857,6.1562600000000005,0.375
-43.229691,912,6145.352077,False,True,False,False,False,False,0.4537514285714286,6.17626,0.375
-69.692801,1865,6172.622386,False,True,False,False,False,False,0.4550542857142857,6.18538,0.375
-70.555443,1648,6197.205613,False,True,False,False,False,False,0.4577185714285714,6.2040299999999995,0.375
-40.065466,775,6208.488479,False,True,False,False,False,False,0.4600728571428571,6.22051,0.375
-55.096749,1485,6230.1881,False,True,False,False,False,False,0.46118,6.22826,0.375
-60.772681,1833,6256.968545,False,True,False,False,False,False,0.4633014285714286,6.243110000000001,0.375
-37.394598,701,6267.081685,False,True,False,False,False,False,0.46592,6.26144,0.375
-33.725772,2000,6296.845788,False,False,True,False,False,False,0.4669214285714286,6.2684500000000005,0.375
-42.996752,2000,6326.32913,False,False,True,False,False,False,0.46977857142857143,6.288450000000001,0.375
-36.630684,2000,6356.13345,False,False,True,False,False,False,0.47263571428571427,6.308450000000001,0.375
-49.000962,1192,6373.573398,False,True,False,False,False,False,0.47549285714285716,6.32845,0.375
-57.601067,2000,6402.857173,False,False,True,False,False,False,0.4771957142857143,6.34037,0.375
-50.821662,1099,6418.70109,False,True,False,False,False,False,0.48005285714285717,6.3603700000000005,0.375
